Calendar Year,ACARA SML ID,Location AGE ID,School AGE ID,School Name,Suburb,State,Postcode,School Sector,School Type,Campus Type,Rolled Reporting Description,School URL,Governing Body,Governing Body URL,Year Range,Geolocation,ICSEA,ICSEA Percentile,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Language Background Other Than English - No (%),Language Background Other Than English - Not Stated (%),Latitude,Longitude
2024,40011,40022.0,22.0,Sacred Heart Catholic School,Ulverstone,TAS,7315,Catholic,Primary,School Single Entity,Individual Reporting,http://www.shu.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Outer Regional,1005.0,49.0,22.0,36.0,25.0,17.0,19.0,14.9,28.0,12.2,249.0,126.0,123.0,248.3,16.0,2.0,98.0,0.0,-41.155798,146.186851
2024,40012,40023.0,23.0,Sacred Heart Catholic School,Geeveston,TAS,7116,Catholic,Primary,School Single Entity,Individual Reporting,http://www.shg.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Outer Regional,952.0,25.0,39.0,29.0,22.0,10.0,18.0,13.4,16.0,8.7,140.0,59.0,81.0,137.6,26.0,5.0,95.0,0.0,-43.165474,146.943967
2024,40014,40026.0,26.0,St Anthony's Catholic School,Riverside,TAS,7250,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stanthonys.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,1040.0,64.0,16.0,34.0,29.0,20.0,14.0,12.1,12.0,7.4,185.0,82.0,103.0,185.0,5.0,17.0,83.0,0.0,-41.4062,147.095
2024,40015,40027.0,27.0,St Peter Chanel Catholic School,Smithton,TAS,7330,Catholic,Primary,School Single Entity,Individual Reporting,http://stpeterchanel.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Outer Regional,874.0,7.0,59.0,27.0,11.0,4.0,13.0,10.6,18.0,8.7,126.0,49.0,77.0,126.0,49.0,5.0,95.0,0.0,-40.845638,145.131883
2024,40016,40029.0,29.0,St Brigid's Catholic School,New Norfolk,TAS,7140,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stbrigidsnn.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,965.0,31.0,42.0,36.0,15.0,7.0,16.0,14.0,15.0,8.3,188.0,98.0,90.0,188.0,17.0,3.0,97.0,0.0,-42.78063,147.056171
2024,40017,40030.0,30.0,St Brigid's Catholic School,Wynyard,TAS,7325,Catholic,Primary,School Single Entity,Individual Reporting,http://www.sbw.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Outer Regional,974.0,35.0,35.0,32.0,17.0,16.0,15.0,12.4,17.0,8.9,186.0,97.0,89.0,186.0,19.0,0.0,100.0,0.0,-40.988286,145.726855
2024,40018,40031.0,31.0,St Cuthbert's Catholic School,Lindisfarne,TAS,7015,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stcuthberts.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,1034.0,62.0,22.0,28.0,27.0,23.0,26.0,17.6,30.0,13.3,240.0,96.0,144.0,238.9,7.0,10.0,90.0,0.0,-42.843192,147.355348
2024,40019,40036.0,36.0,St John's Catholic School,Richmond,TAS,7025,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stjohns.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Outer Regional,1008.0,51.0,26.0,36.0,26.0,11.0,22.0,19.2,20.0,10.6,282.0,122.0,160.0,282.0,5.0,2.0,98.0,0.0,-42.733415,147.441563
2024,40020,40038.0,38.0,St Joseph's Catholic School,Rosebery,TAS,7470,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stjosephsr.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Remote,921.0,15.0,54.0,18.0,15.0,12.0,8.0,6.0,7.0,4.5,51.0,27.0,24.0,51.0,18.0,21.0,79.0,0.0,-41.780321,145.543953
2024,40021,40039.0,39.0,St Joseph's Catholic School,Queenstown,TAS,7467,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stjosephsq.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Remote,930.0,17.0,59.0,23.0,12.0,5.0,11.0,8.8,11.0,5.9,65.0,31.0,34.0,65.0,14.0,1.0,99.0,0.0,-42.081342,145.559515
2024,40022,40040.0,40.0,St Mary's College,Hobart,TAS,7000,Catholic,Combined,School Single Entity,Individual Reporting,http://www.smc.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-12,Inner Regional,1059.0,72.0,14.0,27.0,31.0,28.0,114.0,91.7,69.0,50.2,945.0,945.0,0.0,945.0,5.0,10.0,90.0,0.0,-42.881808,147.319687
2024,40023,40045.0,45.0,St Patrick's Catholic School,Latrobe,TAS,7307,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stpatslatrobe.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Outer Regional,993.0,43.0,34.0,31.0,22.0,13.0,19.0,12.1,21.0,12.8,165.0,81.0,84.0,165.0,8.0,5.0,95.0,0.0,-41.235575,146.418418
2024,40024,40047.0,47.0,St Therese's Catholic School,Moonah,TAS,7009,Catholic,Primary,School Single Entity,Individual Reporting,http://www.sttherese.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,1025.0,58.0,19.0,36.0,29.0,16.0,18.0,14.4,18.0,7.9,207.0,106.0,101.0,207.0,6.0,17.0,83.0,0.0,-42.846795,147.290228
2024,40025,40055.0,55.0,Hilliard Christian School,West Moonah,TAS,7009,Independent,Combined,School Single Entity,Individual Reporting,https://hilliard.tas.edu.au/,Adventist Schools Australia,https://www.adventist.edu.au/,Prep-10,Inner Regional,985.0,40.0,38.0,32.0,21.0,9.0,20.0,18.7,14.0,10.3,223.0,105.0,118.0,223.0,3.0,62.0,38.0,0.0,-42.853786,147.28761
2024,40026,40056.0,56.0,Star of the Sea Catholic College,George Town,TAS,7253,Catholic,Combined,School Single Entity,Individual Reporting,http://www.starsea.tas.edu.au/,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-10,Outer Regional,942.0,22.0,53.0,28.0,13.0,6.0,22.0,18.4,19.0,11.1,167.0,76.0,91.0,166.1,11.0,1.0,99.0,0.0,-41.107781,146.829593
2024,40027,40058.0,58.0,Stella Maris Catholic School,Burnie,TAS,7320,Catholic,Primary,School Single Entity,Individual Reporting,http://stellamaris.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Outer Regional,1025.0,58.0,22.0,33.0,24.0,21.0,27.0,21.5,25.0,13.7,378.0,201.0,177.0,377.4,8.0,10.0,90.0,0.0,-41.051103,145.887728
