Calendar Year,ACARA SML ID,Location AGE ID,School AGE ID,School Name,Suburb,State,Postcode,School Sector,School Type,Campus Type,Rolled Reporting Description,School URL,Governing Body,Governing Body URL,Year Range,Geolocation,ICSEA,ICSEA Percentile,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Language Background Other Than English - No (%),Language Background Other Than English - Not Stated (%)
2024,40041,44213,4213,St Thomas More's Catholic School,Newstead,TAS,7250,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stm.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,1036,62,15,37,31,17,24,18.9,23,11.9,313,159,154,313,5,4,96,0
2024,40042,44505,4505,St Paul's Catholic School,Bridgewater,TAS,7030,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stpauls.tas.edu.au,Catholic Education Tasmania,https://www.catholic.tas.edu.au/,Prep-6,Inner Regional,895,10,63,25,9,3,21,15.9,26,15.9,170,81,89,170,32,5,95,0
2024,40043,45272,5272,Circular Head Christian School,Smithton,TAS,7330,Independent,Combined,School Single Entity,Individual Reporting,http://www.chcs.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Outer Regional,916,14,49,32,13,5,25,17.9,31,14.9,257,136,121,255.2,32,2,98,0
2024,40044,45918,5918,Southern Christian College,Kingston,TAS,7050,Independent,Combined,School Single Entity,Individual Reporting,http://www.scc.tas.edu.au,Independent Schools Tasmania,https://www.independentschools.tas.edu.au/,Prep-12,Inner Regional,1061,72,14,27,26,33,35,28.1,30,15.4,328,156,172,325.6,6,24,76,0
2024,40045,46592,6592,Brooks High School,Rocherlea,TAS,7248,Government,Secondary,School Single Entity,Individual Reporting,https://brookshigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Inner Regional,894,9,70,22,6,3,39,35.4,39,28.5,452,219,233,447,18,8,91,1
2024,40046,46593,6593,Flinders Island District High School,Whitemark,TAS,7255,Government,Combined,School Single Entity,Individual Reporting,https://flindersislanddistricthigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-10,Very Remote,935,19,30,30,24,15,17,13.9,21,11,101,47,54,99,27,3,95,2
2024,40047,46595,6595,Lilydale District School,Lilydale,TAS,7268,Government,Combined,School Single Entity,Individual Reporting,https://lilydale.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-12,Outer Regional,944,22,56,28,11,5,39,31.4,31,19.2,330,179,151,314.7,7,1,98,1
2024,40048,46596,6596,Ravenswood Heights Primary School,Ravenswood,TAS,7250,Government,Primary,School Single Entity,Individual Reporting,https://ravenswoodheightsprimary.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,K-6,Inner Regional,827,4,86,12,2,0,30,24.8,33,21.1,275,137,138,262.2,28,0,99,1
2024,40049,46597,6597,Scottsdale High School,Scottsdale,TAS,7260,Government,Secondary,School Single Entity,Individual Reporting,https://scottsdalehigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Outer Regional,913,13,67,25,8,1,29,26.9,23,15,263,118,145,258.4,8,1,99,0
2024,40050,46600,6600,Parklands High School,Romaine,TAS,7320,Government,Secondary,School Single Entity,Individual Reporting,https://parklandshigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Outer Regional,883,8,70,22,6,1,41,39,38,27.5,405,195,210,401.8,21,1,96,3
2024,40051,46601,6601,Reece High School,Devonport,TAS,7310,Government,Secondary,School Single Entity,Individual Reporting,https://reecehigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Outer Regional,923,16,56,27,12,5,49,41.7,35,27.6,518,253,265,517.7,19,2,96,2
2024,40052,46602,6602,Ulverstone Secondary College,Ulverstone,TAS,7315,Government,Secondary,School Single Entity,Individual Reporting,https://ulverstonehigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Outer Regional,912,13,61,26,10,3,49,40.4,39,26,509,234,275,500.6,16,1,98,1
2024,40053,46603,6603,Wynyard High School,Wynyard,TAS,7325,Government,Secondary,School Single Entity,Individual Reporting,https://wynyardhigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Outer Regional,919,15,59,26,11,4,26,22.4,24,18,268,117,151,264.1,20,1,98,0
2024,40054,46604,6604,Cosgrove High School,Glenorchy,TAS,7010,Government,Secondary,School Single Entity,Individual Reporting,https://cosgrovehigh.education.tas.edu.au/,"Department for Education, Children and Young People Tasmania",https://www.decyp.tas.gov.au/,7-12,Inner Regional,871,6,72,20,7,1,36,32.3,36,25.5,312,135,177,311.6,26,6,92,2
